block size,rows,cols,instructions,cycles,CPI,speedup vs naive,miss rate,D-cache miss cycles
0,256,64,83262,1207026,14.496721193341500324277581609858,1.000000000000000000000000000000,0.569058583147814949223872404013,930725
2,256,64,201273,867033,4.307746195465859802357991384836,1.392133863416963368176297787973,0.326583513769021987740538562410,481459
4,256,64,163193,711275,4.358489641099802074843896490658,1.696989209518118871041439668201,0.269647159281510170473605562502,404349
8,256,64,116041,502388,4.329400815229100059461741970510,2.402577290858858093744277331465,0.212341087161976769000945093137,299557
16,256,64,106954,940406,8.792621126839575892439740449165,1.283515843157104484658753772307,0.599646352245358373220328648517,699858
32,256,64,101522,898564,8.850928862709560489352061622111,1.343283283105043157749475830325,0.584240539139450492483151892172,675726
