block size,line size in bytes,ways,cycles,instructions,CPI,D-cache access,D-cache miss,miss rate,D-cache miss cycles
8,64,1,502388,116041,4.329400815229100059461741970510,32801,6965,0.212341087161976769000945093137,299557
8,64,2,543241,116041,4.681457415913340974310803939987,32801,7991,0.243620621322520654858083595012,335427
8,64,4,591131,116041,5.094156375763738678570505252454,32801,9219,0.281058504313892869119843907198,378677
8,64,8,632783,116041,5.453098473815289423565808636603,32801,10302,0.314075790372244748635712325844,416054
